condition,trial_index_1based,trigger_label,source,mixture,role_if_attended,band,status,source_n,mixture_n,stored_masked_n,stored_overt_n,align_status,max_abs_error_masked,max_abs_error_overt,max_abs_error_reconstruction,negative_masked_count,negative_overt_count,masked_exceeds_source_count,overt_exceeds_mix_count,overt_exceeds_source_count,masked_key,overt_key
binaural,2,trigger1,male_2,List_1_stim_2,attend,100-310,failed_numeric_check,31534,31535,31535,31535,source_padded_1,1.9026833584234737e-06,1.8898268194789125e-06,2.6888892037391088e-06,0,0,1577,4828,2943,List_1_stim_2/male_2/freq_bins/100-310,List_1_stim_2/male_2/freq_bins/100-310
binaural,2,trigger1,male_2,List_1_stim_2,attend,328-684,failed_numeric_check,31534,31535,31535,31535,source_padded_1,1.8536542540914525e-06,1.9010345297942877e-06,2.34506961049874e-06,0,0,1511,4764,3121,List_1_stim_2/male_2/freq_bins/328-684,List_1_stim_2/male_2/freq_bins/328-684
binaural,2,trigger1,male_2,List_1_stim_2,attend,715-1317,failed_numeric_check,31534,31535,31535,31535,source_padded_1,1.8752266797150696e-06,1.9041114285300864e-06,2.2007746949270768e-06,0,0,1463,4800,3557,List_1_stim_2/male_2/freq_bins/715-1317,List_1_stim_2/male_2/freq_bins/715-1317
binaural,2,trigger1,male_2,List_1_stim_2,attend,1369-2390,failed_numeric_check,31534,31535,31535,31535,source_padded_1,1.904862891421999e-06,1.8982028677783092e-06,2.339284542074438e-06,0,0,1470,5086,3367,List_1_stim_2/male_2/freq_bins/1369-2390,List_1_stim_2/male_2/freq_bins/1369-2390
binaural,2,trigger1,male_2,List_1_stim_2,attend,2478-4207,failed_numeric_check,31534,31535,31535,31535,source_padded_1,1.9026794859655638e-06,1.8965309394047836e-06,2.1110002847990472e-06,0,0,1649,5274,2801,List_1_stim_2/male_2/freq_bins/2478-4207,List_1_stim_2/male_2/freq_bins/2478-4207
binaural,2,trigger1,male_2,List_1_stim_2,attend,4356-7285,failed_numeric_check,31534,31535,31535,31535,source_padded_1,3.7577507754349426e-06,1.9020998465180128e-06,3.706889899035559e-06,0,0,1934,4625,2986,List_1_stim_2/male_2/freq_bins/4356-7285,List_1_stim_2/male_2/freq_bins/4356-7285
binaural,2,trigger1,male_2,List_1_stim_2,attend,7537-12498,failed_numeric_check,31534,31535,31535,31535,source_padded_1,1.8979635498794778e-06,1.9041709364842063e-06,2.4619880036880204e-06,0,0,1589,5017,2976,List_1_stim_2/male_2/freq_bins/7537-12498,List_1_stim_2/male_2/freq_bins/7537-12498
binaural,2,trigger1,male_2,List_1_stim_2,attend,12924-21328,failed_numeric_check,31534,31535,31535,31535,source_padded_1,1.340317069775665e-06,1.882142953490984e-06,2.2976076223812925e-06,0,0,1200,5372,3122,List_1_stim_2/male_2/freq_bins/12924-21328,List_1_stim_2/male_2/freq_bins/12924-21328
binaural,2,trigger1,female_2,List_1_stim_2,ignore,100-310,failed_numeric_check,32231,31535,31535,31535,source_truncated_696,1.903236515943263e-06,1.9052030566513167e-06,2.0982632875643503e-06,0,0,1537,5595,2598,List_1_stim_2/female_2/freq_bins/100-310,List_1_stim_2/female_2/freq_bins/100-310
binaural,2,trigger1,female_2,List_1_stim_2,ignore,328-684,failed_numeric_check,32231,31535,31535,31535,source_truncated_696,1.90322805337928e-06,1.894260634571765e-06,2.028913847595959e-06,0,0,1574,5450,2878,List_1_stim_2/female_2/freq_bins/328-684,List_1_stim_2/female_2/freq_bins/328-684
binaural,2,trigger1,female_2,List_1_stim_2,ignore,715-1317,failed_numeric_check,32231,31535,31535,31535,source_truncated_696,1.8963039920549818e-06,1.9027925119985412e-06,2.306630925374975e-06,0,0,1673,5082,3150,List_1_stim_2/female_2/freq_bins/715-1317,List_1_stim_2/female_2/freq_bins/715-1317
binaural,2,trigger1,female_2,List_1_stim_2,ignore,1369-2390,failed_numeric_check,32231,31535,31535,31535,source_truncated_696,1.9050158925892902e-06,1.9049552975047845e-06,2.390627031445547e-06,0,0,1702,5111,2973,List_1_stim_2/female_2/freq_bins/1369-2390,List_1_stim_2/female_2/freq_bins/1369-2390
binaural,2,trigger1,female_2,List_1_stim_2,ignore,2478-4207,failed_numeric_check,32231,31535,31535,31535,source_truncated_696,1.9000696127591254e-06,1.8785528794751372e-06,2.54090011964081e-06,0,0,1740,5414,2575,List_1_stim_2/female_2/freq_bins/2478-4207,List_1_stim_2/female_2/freq_bins/2478-4207
binaural,2,trigger1,female_2,List_1_stim_2,ignore,4356-7285,failed_numeric_check,32231,31535,31535,31535,source_truncated_696,2.697695975939496e-06,1.9038303520346744e-06,2.740353480135127e-06,0,0,1478,5430,2551,List_1_stim_2/female_2/freq_bins/4356-7285,List_1_stim_2/female_2/freq_bins/4356-7285
binaural,2,trigger1,female_2,List_1_stim_2,ignore,7537-12498,failed_numeric_check,32231,31535,31535,31535,source_truncated_696,1.906446748023427e-06,1.9072645329742954e-06,2.211350611958096e-06,0,0,1483,5280,3052,List_1_stim_2/female_2/freq_bins/7537-12498,List_1_stim_2/female_2/freq_bins/7537-12498
binaural,2,trigger1,female_2,List_1_stim_2,ignore,12924-21328,failed_numeric_check,32231,31535,31535,31535,source_truncated_696,1.879286585904083e-06,1.8559852321686776e-06,1.9074416712783204e-06,0,0,2260,4296,3232,List_1_stim_2/female_2/freq_bins/12924-21328,List_1_stim_2/female_2/freq_bins/12924-21328
binaural,2,trigger2,female_2,List_2_stim_2,attend,100-310,failed_numeric_check,32231,32233,32233,32233,source_padded_2,1.9073244033052106e-06,1.8407393298502939e-06,2.41966901626256e-06,0,0,1572,5404,2932,List_2_stim_2/female_2/freq_bins/100-310,List_2_stim_2/female_2/freq_bins/100-310
binaural,2,trigger2,female_2,List_2_stim_2,attend,328-684,failed_numeric_check,32231,32233,32233,32233,source_padded_2,1.8860987438529264e-06,1.8783604858185754e-06,2.040344632803226e-06,0,0,1585,5414,3231,List_2_stim_2/female_2/freq_bins/328-684,List_2_stim_2/female_2/freq_bins/328-684
binaural,2,trigger2,female_2,List_2_stim_2,attend,715-1317,failed_numeric_check,32231,32233,32233,32233,source_padded_2,1.88471077677832e-06,1.9002273745627463e-06,2.23860322279279e-06,0,0,1704,5049,3484,List_2_stim_2/female_2/freq_bins/715-1317,List_2_stim_2/female_2/freq_bins/715-1317
