condition,trial_index_1based,trigger_label,source,mixture,role,band,status,source_n,mixture_n,masked_n,overt_n,align_status,source_key,mixture_key,masked_key,overt_key,max_abs_error_masked,max_abs_error_overt,max_abs_error_reconstruction,source_min,mixture_min,masked_min,overt_min
diotic,4,trigger1,male_4,List_1_stim_4,attend,100-310,ok,30200,30200,30200,30200,same_length,male_4/freq_bins/100-310Hz,List_1_stim_4/freq_bins/100-310Hz,List_1_stim_4/male_4/freq_bins/100-310,List_1_stim_4/male_4/freq_bins/100-310,1.8950595119804348e-06,1.89586273080522e-06,2.1742961422432927e-06,0.0,0.0,0.0,0.0
diotic,4,trigger1,male_4,List_1_stim_4,attend,328-684,ok,30200,30200,30200,30200,same_length,male_4/freq_bins/328-684Hz,List_1_stim_4/freq_bins/328-684Hz,List_1_stim_4/male_4/freq_bins/328-684,List_1_stim_4/male_4/freq_bins/328-684,1.8562824948276102e-06,1.9017778498664484e-06,2.5137697718946583e-06,0.0,0.0,0.0,0.0
diotic,4,trigger1,male_4,List_1_stim_4,attend,715-1317,ok,30200,30200,30200,30200,same_length,male_4/freq_bins/715-1317Hz,List_1_stim_4/freq_bins/715-1317Hz,List_1_stim_4/male_4/freq_bins/715-1317,List_1_stim_4/male_4/freq_bins/715-1317,1.9048060551085655e-06,1.9026891919793343e-06,2.292237269330144e-06,0.0,0.0,0.0,0.0
diotic,4,trigger1,male_4,List_1_stim_4,attend,1369-2390,ok,30200,30200,30200,30200,same_length,male_4/freq_bins/1369-2390Hz,List_1_stim_4/freq_bins/1369-2390Hz,List_1_stim_4/male_4/freq_bins/1369-2390,List_1_stim_4/male_4/freq_bins/1369-2390,1.8964270864785249e-06,1.9050269912668227e-06,2.3612603285982914e-06,0.0,0.0,0.0,0.0
diotic,4,trigger1,male_4,List_1_stim_4,attend,2478-4207,ok,30200,30200,30200,30200,same_length,male_4/freq_bins/2478-4207Hz,List_1_stim_4/freq_bins/2478-4207Hz,List_1_stim_4/male_4/freq_bins/2478-4207,List_1_stim_4/male_4/freq_bins/2478-4207,1.9048208343974693e-06,1.894763158816204e-06,2.1473160956020365e-06,0.0,0.0,0.0,0.0
diotic,4,trigger1,male_4,List_1_stim_4,attend,4356-7285,ok,30200,30200,30200,30200,same_length,male_4/freq_bins/4356-7285Hz,List_1_stim_4/freq_bins/4356-7285Hz,List_1_stim_4/male_4/freq_bins/4356-7285,List_1_stim_4/male_4/freq_bins/4356-7285,1.905829414283744e-06,2.097274290235873e-06,2.7513552254276874e-06,0.0,0.0,0.0,0.0
diotic,4,trigger1,male_4,List_1_stim_4,attend,7537-12498,ok,30200,30200,30200,30200,same_length,male_4/freq_bins/7537-12498Hz,List_1_stim_4/freq_bins/7537-12498Hz,List_1_stim_4/male_4/freq_bins/7537-12498,List_1_stim_4/male_4/freq_bins/7537-12498,1.9070255490305499e-06,1.9056576050502372e-06,2.712929763504235e-06,0.0,0.0,0.0,0.0
diotic,4,trigger1,male_4,List_1_stim_4,attend,12924-21328,ok,30200,30200,30200,30200,same_length,male_4/freq_bins/12924-21328Hz,List_1_stim_4/freq_bins/12924-21328Hz,List_1_stim_4/male_4/freq_bins/12924-21328,List_1_stim_4/male_4/freq_bins/12924-21328,1.7049339078312187e-06,1.9034714924259788e-06,2.079131398602385e-06,0.0,0.0,0.0,0.0
diotic,4,trigger1,female_4,List_1_stim_4,ignore,100-310,ok,31739,30200,30200,30200,source_truncated_1539,female_4/freq_bins/100-310Hz,List_1_stim_4/freq_bins/100-310Hz,List_1_stim_4/female_4/freq_bins/100-310,List_1_stim_4/female_4/freq_bins/100-310,1.8890126440851418e-06,1.9059126259435288e-06,1.951015633494535e-06,0.0,0.0,0.0,0.0
diotic,4,trigger1,female_4,List_1_stim_4,ignore,328-684,ok,31739,30200,30200,30200,source_truncated_1539,female_4/freq_bins/328-684Hz,List_1_stim_4/freq_bins/328-684Hz,List_1_stim_4/female_4/freq_bins/328-684,List_1_stim_4/female_4/freq_bins/328-684,1.9069570242891132e-06,1.9020162866922874e-06,2.188517214563035e-06,0.0,0.0,0.0,0.0
diotic,4,trigger1,female_4,List_1_stim_4,ignore,715-1317,ok,31739,30200,30200,30200,source_truncated_1539,female_4/freq_bins/715-1317Hz,List_1_stim_4/freq_bins/715-1317Hz,List_1_stim_4/female_4/freq_bins/715-1317,List_1_stim_4/female_4/freq_bins/715-1317,1.8970300388332362e-06,1.8894866258278853e-06,2.4914860787816906e-06,0.0,0.0,0.0,0.0
diotic,4,trigger1,female_4,List_1_stim_4,ignore,1369-2390,ok,31739,30200,30200,30200,source_truncated_1539,female_4/freq_bins/1369-2390Hz,List_1_stim_4/freq_bins/1369-2390Hz,List_1_stim_4/female_4/freq_bins/1369-2390,List_1_stim_4/female_4/freq_bins/1369-2390,1.93908476830984e-06,1.9063709473243762e-06,2.277178133169855e-06,0.0,0.0,0.0,0.0
diotic,4,trigger1,female_4,List_1_stim_4,ignore,2478-4207,ok,31739,30200,30200,30200,source_truncated_1539,female_4/freq_bins/2478-4207Hz,List_1_stim_4/freq_bins/2478-4207Hz,List_1_stim_4/female_4/freq_bins/2478-4207,List_1_stim_4/female_4/freq_bins/2478-4207,1.8953072427052575e-06,1.8981764355885389e-06,2.694198990127461e-06,0.0,0.0,0.0,0.0
